Wavelength (nm)	CHL062_Chl a2, 90Ace (Clementson, 2019).abs
709.70	0.00028873
710.60	-0.00046913
711.40	-0.00094733
712.30	9.4574e-05
713.10	-0.0016679
714.00	0.00049073
714.80	-4.7849e-05
715.70	0.0012082
716.50	-0.0017443
717.40	-0.00039641
718.20	-0.00081101
719.10	0.00017339
719.90	-0.0016022
