Wavelength (nm)	CHL003_Chl a, 90Ace (Clementson, 2019).abs
710.60	0.0026331
711.40	0.00050251
712.30	0.0023635
713.10	0.0019828
714.00	0.00086844
714.80	0.00080365
715.70	0.0027399
716.50	0.0025069
717.40	0.00028283
718.20	0.0011366
719.10	0.0015043
719.90	0.0016898
